
 ****** Running generation 0 ****** 

Population's average fitness: 2932.02528 stdev: 653.73219
Best fitness: 5149.31000 - size: (20, 202) - species 163 - id 163
Average adjusted fitness: 0.386
Mean genetic distance 3.595, standard deviation 0.236
Population of 600 members in 200 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    0     3   2650.4    0.308     0
     2    0     3   2339.4    0.222     0
     3    0     3   2127.9    0.163     0
     4    0     3   2976.7    0.398     0
     5    0     3   2398.4    0.238     0
     6    0     3   2829.1    0.357     0
     7    0     3   2876.5    0.370     0
     8    0     3   2001.5    0.128     0
     9    0     3   2600.5    0.294     0
    10    0     3   2521.1    0.272     0
    11    0     3   2960.5    0.394     0
    12    0     3   2459.3    0.255     0
    13    0     3   2177.0    0.177     0
    14    0     3   1752.2    0.059     0
    15    0     3   2304.9    0.212     0
    16    0     3   3542.4    0.555     0
    17    0     3   2375.5    0.232     0
    18    0     3   3886.4    0.650     0
    19    0     3   3203.6    0.461     0
    20    0     3   3761.9    0.616     0
    21    0     3   4210.0    0.740     0
    22    0     3   3154.9    0.448     0
    23    0     3   2705.4    0.323     0
    24    0     3   3364.3    0.506     0
    25    0     3   3115.8    0.437     0
    26    0     3   3175.9    0.453     0
    27    0     3   3726.2    0.606     0
    28    0     3   1644.3    0.029     0
    29    0     3   3659.9    0.587     0
    30    0     3   2970.0    0.396     0
    31    0     3   2843.3    0.361     0
    32    0     3   2765.0    0.340     0
    33    0     3   3201.0    0.460     0
    34    0     3   2638.3    0.304     0
    35    0     3   3510.3    0.546     0
    36    0     3   2051.7    0.142     0
    37    0     3   3321.8    0.494     0
    38    0     3   3003.7    0.406     0
    39    0     3   3171.0    0.452     0
    40    0     3   3101.4    0.433     0
    41    0     3   2901.2    0.377     0
    42    0     3   3454.7    0.531     0
    43    0     3   2520.1    0.272     0
    44    0     3   2212.9    0.187     0
    45    0     3   2539.8    0.277     0
    46    0     3   3145.9    0.445     0
    47    0     3   3228.0    0.468     0
    48    0     3   3015.2    0.409     0
    49    0     3   2600.5    0.294     0
    50    0     3   3049.4    0.418     0
    51    0     3   2739.3    0.332     0
    52    0     3   2506.6    0.268     0
    53    0     3   2226.6    0.190     0
    54    0     3   3899.4    0.654     0
    55    0     3   2730.4    0.330     0
    56    0     3   3255.7    0.475     0
    57    0     3   2386.5    0.235     0
    58    0     3   4863.6    0.921     0
    59    0     3   2157.7    0.171     0
    60    0     3   2566.6    0.285     0
    61    0     3   2675.2    0.315     0
    62    0     3   1865.2    0.090     0
    63    0     3   3216.7    0.465     0
    64    0     3   3416.8    0.520     0
    65    0     3   2846.6    0.362     0
    66    0     3   3153.3    0.447     0
    67    0     3   4833.3    0.912     0
    68    0     3   2983.3    0.400     0
    69    0     3   2942.8    0.389     0
    70    0     3   2482.2    0.261     0
    71    0     3   2967.1    0.396     0
    72    0     3   3839.1    0.637     0
    73    0     3   3445.5    0.528     0
    74    0     3   4069.1    0.701     0
    75    0     3   4038.2    0.692     0
    76    0     3   1539.1    0.000     0
    77    0     3   2705.7    0.323     0
    78    0     3   2186.2    0.179     0
    79    0     3   2800.3    0.349     0
    80    0     3   2216.0    0.187     0
    81    0     3   2847.0    0.362     0
    82    0     3   2960.6    0.394     0
    83    0     3   2993.6    0.403     0
    84    0     3   3222.8    0.466     0
    85    0     3   3568.1    0.562     0
    86    0     3   3996.7    0.681     0
    87    0     3   2560.0    0.283     0
    88    0     3   2397.5    0.238     0
    89    0     3   3563.2    0.561     0
    90    0     3   2639.2    0.305     0
    91    0     3   2243.5    0.195     0
    92    0     3   3998.4    0.681     0
    93    0     3   3466.5    0.534     0
    94    0     3   3671.9    0.591     0
    95    0     3   3252.9    0.475     0
    96    0     3   1890.5    0.097     0
    97    0     3   2131.4    0.164     0
    98    0     3   3300.2    0.488     0
    99    0     3   3189.5    0.457     0
   100    0     3   3164.8    0.450     0
   101    0     3   3168.8    0.451     0
   102    0     3   2198.6    0.183     0
   103    0     3   2436.4    0.249     0
   104    0     3   2545.4    0.279     0
   105    0     3   2433.0    0.248     0
   106    0     3   1921.9    0.106     0
   107    0     3   2042.1    0.139     0
   108    0     3   3298.3    0.487     0
   109    0     3   2802.1    0.350     0
   110    0     3   2718.6    0.327     0
   111    0     3   2619.1    0.299     0
   112    0     3   1992.9    0.126     0
   113    0     3   2077.5    0.149     0
   114    0     3   5000.8    0.959     0
   115    0     3   3863.3    0.644     0
   116    0     3   3262.7    0.477     0
   117    0     3   2975.4    0.398     0
   118    0     3   2733.0    0.331     0
   119    0     3   3235.7    0.470     0
   120    0     3   3149.1    0.446     0
   121    0     3   2682.4    0.317     0
   122    0     3   2374.6    0.231     0
   123    0     3   3193.3    0.458     0
   124    0     3   2249.5    0.197     0
   125    0     3   1758.3    0.061     0
   126    0     3   2537.4    0.277     0
   127    0     3   2827.3    0.357     0
   128    0     3   2111.0    0.158     0
   129    0     3   2234.5    0.193     0
   130    0     3   2427.7    0.246     0
   131    0     3   3528.6    0.551     0
   132    0     3   2357.9    0.227     0
   133    0     3   2478.2    0.260     0
   134    0     3   3402.4    0.516     0
   135    0     3   3121.6    0.438     0
   136    0     3   2587.3    0.290     0
   137    0     3   3701.9    0.599     0
   138    0     3   2550.2    0.280     0
   139    0     3   2457.0    0.254     0
   140    0     3   3834.6    0.636     0
